Street,City,State,Zip,Unnamed: 4,Unnamed: 5,Full_Address,Latitude,Longitude
2000 Whitewater Road,Sapphire,NC,28774,,,"2000 Whitewater Road, Sapphire, NC 28774",35.0937262,-82.9712627
4189 NC 87 South,Moncure,,00nan,,,,,
11325 Texland Boulevard,Charlotte,NC,28217,,,"11325 Texland Boulevard, Charlotte, NC 28217",35.1118746,-80.92186339999999
2111 Rocky River Road,Monroe,NC,28110,,,"2111 Rocky River Road, Monroe, NC 28110",35.0283936,-80.60406119999999
136 Beam Lane,Bessemer City,NC,28016,,,"136 Beam Lane, Bessemer City, NC 28016",35.3472208,-81.3125697
7219 Weddington Road,Concord,NC,28027,,,"7219 Weddington Road, Concord, NC 28027",35.3793708,-80.6953328
4551 Beatties Ford Road,Charlotte,NC,28216,,,"4551 Beatties Ford Road, Charlotte, NC 28216",35.2960062,-80.86074889999999
65818 Highway 151,Jefferson,SC,29718,,,"65818 Highway 151, Jefferson, SC 29718",34.6498502,-80.3776004
181 Quarry Road,Kings Mountain,NC,28086,,,"181 Quarry Road, Kings Mountain, NC 28086",35.2259699,-81.33963
4540 Timrod Road,Bethune,SC,29009,,,"4540 Timrod Road, Bethune, SC 29009",34.523899,-80.37327599999999
575 E. Mallard Creek Church Road,Charlotte,NC,28262,,,"575 E. Mallard Creek Church Road, Charlotte, NC 28262",35.3182563,-80.7279398
1601 Sam Newell Road,Matthews,NC,28106,,,"1601 Sam Newell Road, Matthews, NC 28106",35.1356907,-80.7165907
P O Box 832,Rock Hill,SC,29731,,,"P O Box 832, Rock Hill, SC 29731",34.93,-81.03
450 Runningbrook Road,Midland,NC,28107,,,"450 Runningbrook Road, Midland, NC 28107",35.2825746,-80.5662691
2757 Hopewood Road,Randleman,NC,27317,,,"2757 Hopewood Road, Randleman, NC 27317",35.7690206,-79.8257635
371 Black Ankle Road,Star,NC,27356,,,"371 Black Ankle Road, Star, NC 27356",35.48729,-79.786374
1671 Huffman Mill Road,Burlington,NC,27215,,,"1671 Huffman Mill Road, Burlington, NC 27215",36.0520539,-79.5090137
1325 Bradford Mountain Road,Lenoir,NC,28645,,,"1325 Bradford Mountain Road, Lenoir, NC 28645",35.8802075,-81.5572646
3957 Liberty Road,Greensboro,NC,27406,,,"3957 Liberty Road, Greensboro, NC 27406",36.0089028,-79.74699749999999
4965 Highway 16 North,Denver,NC,28037,,,"4965 Highway 16 North, Denver, NC 28037",35.5505885,-81.06157089999999
1666 Route 49 North,Haw River,NC,27258,,,"1666 Route 49 North, Haw River, NC 27258",36.126428,-79.34766599999999
1989 11th Avenue SE,Hickory,NC,28602,,,"1989 11th Avenue SE, Hickory, NC 28602",35.71702,-81.301823
5800 Eckerson Road,Greensboro,NC,27405,,,"5800 Eckerson Road, Greensboro, NC 27405",36.1638215,-79.7026657
5725 Riverdale Drive,Jamestown,NC,27282,,,"5725 Riverdale Drive, Jamestown, NC 27282",35.965199,-79.9210773
2270 China Grove Road,China Grove,NC,28023,,,"2270 China Grove Road, China Grove, NC 28023",35.520259,-80.58058369999999
